epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,933.218,1.24293,1.40147,1.5396,0.50072,0.51591,0.45412,0.29962,1.14395,1.55031,1.64623,0.000330233,0.000330233,0.000330233
83,944.044,1.2456,1.40539,1.55713,0.38914,0.63,0.44938,0.2966,1.13487,1.53028,1.65332,0.000313729,0.000313729,0.000313729
84,954.403,1.20552,1.35852,1.50944,0.446,0.62764,0.47927,0.31493,1.15143,1.4749,1.6561,0.000297226,0.000297226,0.000297226
85,964.876,1.25526,1.45697,1.55905,0.4427,0.5568,0.44331,0.29038,1.1767,1.54142,1.67381,0.000280723,0.000280723,0.000280723
86,975.642,1.14878,1.31451,1.4948,0.48951,0.57763,0.463,0.30146,1.12454,1.54674,1.63601,0.00026422,0.00026422,0.00026422
87,986.661,1.1649,1.3318,1.50758,0.51236,0.53114,0.4981,0.33152,1.10836,1.54139,1.64222,0.000247716,0.000247716,0.000247716
88,997.158,1.17584,1.37758,1.55126,0.41101,0.57,0.44795,0.30415,1.17455,1.53687,1.6856,0.000231213,0.000231213,0.000231213
89,1007.68,1.18428,1.36791,1.49136,0.40548,0.57,0.44781,0.31027,1.15584,1.4751,1.65586,0.00021471,0.00021471,0.00021471
90,1018,1.11739,1.30977,1.46286,0.40232,0.66192,0.48469,0.33684,1.11201,1.44624,1.62117,0.000198206,0.000198206,0.000198206
91,1028.39,1.0449,1.18871,1.40444,0.54368,0.47308,0.49022,0.33531,1.14488,1.47108,1.66124,0.000181703,0.000181703,0.000181703
92,1038.98,0.98607,1.14735,1.37924,0.44187,0.6536,0.53167,0.35538,1.14501,1.41916,1.67233,0.0001652,0.0001652,0.0001652
93,1049.36,1.02632,1.14642,1.3786,0.46174,0.53145,0.51408,0.35186,1.14283,1.44998,1.65077,0.000148696,0.000148696,0.000148696
94,1059.76,1.03099,1.09868,1.37738,0.40696,0.66692,0.47345,0.32913,1.14652,1.48741,1.65488,0.000132193,0.000132193,0.000132193
95,1070.38,1.00321,1.07159,1.36077,0.43727,0.61144,0.48403,0.33252,1.13713,1.43698,1.65821,0.00011569,0.00011569,0.00011569
96,1082.36,0.9982,1.07856,1.36952,0.50514,0.63077,0.52039,0.35221,1.14102,1.45039,1.65241,9.91865e-05,9.91865e-05,9.91865e-05
97,1092.85,1.00233,1.08602,1.36644,0.47075,0.66452,0.53129,0.35467,1.13846,1.4395,1.64881,8.26832e-05,8.26832e-05,8.26832e-05
98,1103.06,1.0014,1.05493,1.3927,0.49135,0.63,0.53491,0.36381,1.12832,1.42582,1.64572,6.61799e-05,6.61799e-05,6.61799e-05
99,1113.61,0.99299,1.06145,1.38687,0.4604,0.6578,0.53602,0.36301,1.12299,1.41799,1.63911,4.96766e-05,4.96766e-05,4.96766e-05
100,1124.02,1.00215,1.0551,1.3558,0.47873,0.66234,0.52439,0.35901,1.12144,1.41251,1.63378,3.31733e-05,3.31733e-05,3.31733e-05
